COD;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR ;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;169;0;2020900000,00
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;285;0;8060400000,00
91011952;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;275;0;30387300000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;475;0;10001700000,00
91011952;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;118;0;10096400000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;197;0;14161140000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;204;0;5116550000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;219;0;2019580000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;357;0;20936600000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;358;0;8371360000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;116;0;10117400000,00
91011952;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;337;0;7622625000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;221;0;10106500000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;119;0;14623975000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;198;0;2024240000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;346;0;5019200000,00
91011952;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;279;0;10114500000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;346;0;15048000000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;342;0;5027150000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;220;0;5069000000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;197;0;10115100000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;197;0;1518750000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;218;0;3032430000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;352;0;15498000000,00
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;223;0;35266350000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;113;0;10151000000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;224;0;14096740000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;351;0;20646800000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;356;0;5236250000,00
91011952;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;402;0;5040550000,00
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;223;0;5038050000,00
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;285;0;10075500000,00
91011952;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;214;0;10113500000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;199;0;1004880000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;169;0;1003880000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;133;0;10049500000,00
