Fondo;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;duración;VPN
60543;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;42;0;302673000
60543;1;2;16;Banco Colpatria;8901001806;2;1;1;1;2;1;167;0;200946000
60543;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;99;0;50741000
60543;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;104;0;306144000
60543;1;2;16;Leasing Bancoldex S.A. Compañia De Financiamiento;8002253859;2;1;1;1;2;1;44;0;204624000
60543;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;92;0;51416500
60543;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;92;0;102857000
60543;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;92;0;196960594.23
60543;1;2;10;Gobierno Nacional;1111222333;2;1;1;1;4;9;284;0;506300000
60543;1;2;10;Gobierno Nacional;1111222333;2;1;1;1;4;9;284;0;506300000
60543;2;2;0;Banco Colpatria;8901001806;0;0;0;0;0;0;0;0;15088706.08
60543;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;16620687.16
60543;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;4513524.76
60543;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;647116.08
60543;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;3024696.76
60543;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;1013545.04
60543;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;232865671.9
60543;2;2;0;Banco Colpatria;8901001806;0;0;0;0;0;0;0;0;1115906.58
60543;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;223829372.6
60543;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;14865412.75
60404;1;2;34;Celsia S.A. E.S.P.;8110303227;2;1;1;1;1;45;1;0;91208590
60404;1;2;34;Celsia S.A. E.S.P.;8110303227;2;1;1;1;1;45;1;0;6394960
60404;1;2;34;Celsia S.A. E.S.P.;8110303227;2;1;1;1;1;45;1;0;23413500
60404;1;2;34;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;45;1;0;1274000
60404;1;2;34;Grupo Argos S.A.;8909002663;2;1;1;1;1;45;1;0;3162000
60404;1;2;34;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;45;1;0;1612000
60404;1;2;34;Suramericana S.A.;8110190124;2;1;1;1;1;45;1;0;2516000
60404;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;45;1;0;4243200
60404;1;2;34;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;45;1;0;7176000
60404;1;2;34;Cementos Argos S.A.;8901002510;2;1;1;1;1;45;1;0;4932000
60404;1;2;34;Interconexion Electrica S.A. E.S.P. Isa;8600166103;2;1;1;1;1;45;1;0;8777420
60404;1;2;34;Empresa De Telecomunicaciones De Bogota S.A. E.S.P;8999991158;2;1;1;1;3;45;1;0;4274661
60404;1;2;34;Grupo Argos S.A.;8909002663;2;1;1;1;1;45;1;0;25520400
60404;1;2;34;Grupo Nutresa S.A.;8909000501;2;1;1;1;1;45;1;0;13314580
60404;1;2;34;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;45;1;0;15548000
60404;1;2;34;Suramericana S.A.;8110190124;2;1;1;1;1;45;1;0;18500000
60404;1;2;34;Ecopetrol S.A.;8999990681;2;1;1;1;3;45;1;0;4919845
60404;1;2;34;Suramericana S.A.;8110190124;2;1;1;1;1;45;1;0;18685000
60404;1;2;34;Suramericana S.A.;8110190124;2;1;1;1;1;45;1;0;20720000
60404;1;2;34;Cementos Argos S.A.;8901002510;2;1;1;1;1;45;1;0;14382000
60404;1;2;34;Banco Davivienda S.A.;8600343137;2;1;1;1;2;45;1;0;28822500
60404;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;45;1;0;27175200
60404;1;2;34;Grupo Argos S.A.;8909002663;2;1;1;1;2;45;1;0;64545600
60404;1;2;34;Grupo Nutresa S.A.;8909000501;2;1;1;1;1;45;1;0;33846920
60404;1;2;34;Suramericana S.A.;8110190124;2;1;1;1;1;45;1;0;30858000
60404;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;45;1;0;42588000
60404;1;2;34;Grupo Nutresa S.A.;8909000501;2;1;1;1;1;45;1;0;52602160
60404;1;2;34;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;45;1;0;51714000
60404;1;2;34;Cementos Argos S.A.;8901002510;2;1;1;1;1;45;1;0;32670000
