COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;DURACIÓN ;VPN
98186;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;240;0;500300000,00
98186;1;2;3;Financiera De Desarrollo Nacional Sa;8605090229;2;1;1;1;4;1;229;0;991260000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;273;0;505835000,00
98186;1;2;3;Interconexion Electrica S.A. E.S.P. Isa;8600166103;2;1;1;1;4;1;891;0;968010000,00
98186;1;2;3;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;613;0;1458615000,00
98186;1;2;3;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;613;0;486205000,00
98186;1;2;3;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;613;0;486205000,00
98186;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;369;0;125121100,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;211;0;2034380000,00
98186;1;2;7;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;18;0;1991200000,00
98186;1;2;7;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;18;0;1991200000,00
98186;1;2;7;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;18;0;1991200000,00
98186;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;528;0;997850000,00
98186;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;83;0;502120000,00
98186;1;2;7;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;109;0;4868900000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;52;0;503990000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;46;0;506555000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;46;0;506555000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;298;0;899194900,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;119;0;1035400000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;165;0;1007630000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;165;0;1511445000,00
98186;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;119;0;2068580000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;113;0;518185000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;87;0;2003940000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;271;0;2001100000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;191;0;1052350000,00
98186;1;2;7;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;1168;0;1880300000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;189;0;1026130000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;167;0;1036100000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;409;0;2042620000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;354;0;1533945000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;191;0;1052020000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;194;0;510875000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;119;0;517700000,00
98186;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;289;0;2032780000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;575;0;2021400000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;210;0;2027600000,00
98186;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;440;0;506425000,00
98186;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;214;0;5063400000,00
98186;1;2;7;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;200;0;1906780000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;195;0;510735000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;169;0;989840000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;311;0;1078860000,00
98186;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;359;0;499140000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;583;0;3013980000,00
98186;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;122;0;517405000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;354;0;1533945000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;132;0;515935000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;222;0;2019700000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;194;0;1021750000,00
98186;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;224;0;4038640000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;194;0;510875000,00
98186;1;2;3;Banco Itaú S.A;8909039370;2;1;1;1;2;1;13;0;505685000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;409;0;3063930000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;93;0;1042240000,00
98186;1;2;3;Banco Itaú S.A;8909039370;2;1;1;1;2;1;227;0;976770000,00
98186;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;68;0;507380000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;167;0;518370000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;80;0;506210000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;433;0;3036150000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;433;0;2024100000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;155;0;513040000,00
98186;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;95;0;2013960000,00
98186;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;268;0;1001810000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;344;0;1068250000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;344;0;534125000,00
98186;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;294;0;5086950000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;409;0;3063930000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;352;0;4260600000,00
98186;1;2;3;Interconexion Electrica S.A. E.S.P. Isa;8600166103;2;1;1;1;1;1;287;0;1984180000,00
98186;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;1676;0;454955000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;225;0;1539555000,00
98186;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;328;0;6065760000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;390;0;2008580000,00
98186;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;462;0;3055740000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;83;0;427463247,92
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;189;0;3158700000,00
98186;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;269;0;500385000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;161;0;717584000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;158;0;615294000,00
98186;1;2;3;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;613;0;486205000,00
98186;1;2;3;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;613;0;486205000,00
98186;1;2;3;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;613;0;486205000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;660;0;2102640000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;466;0;3210000000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;477;0;2133780000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;408;0;510790000,00
98186;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;477;0;2133780000,00
98186;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;443;0;3010470000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;1048940000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;524470000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;524470000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;524470000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;524470000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;524470000,00
98186;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;524470000,00
98186;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;353;0;531600000,00
98186;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;536;0;1005310000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;450;0;208324000,00
98186;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;450;0;312486000,00
98186;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;542;0;1501950000,00
98186;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;542;0;1001300000,00
98186;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;363;0;2002160000,00
98186;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;22327560130,12
98186;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;25962444052,63
98186;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;24006998729,13
98186;2;2;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;309108448,87
98186;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;9489676458,13
98186;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;1712093143,03
98186;2;1;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;23393778879,84
98186;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;555013511,22
