CÓDIGO DEL FIC;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSION ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN; VPN 
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1344;0;498300000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1050;0;472680000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1660;0;580940000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;3120;0;569100000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;3120;0;569100000
85076226;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;1809599326.88
85076226;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;0
85076226;2;1;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;0
850762;1;2;3;BANCO POPULAR S.A.;8600077389;2;1;1;1;2;1;135;0;1504065000
850762;1;2;3;BANCO POPULAR S.A.;8600077389;2;1;1;1;2;1;500;0;497540000
850762;1;2;3;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;277;0;2003120000
850762;1;2;3;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;768;0;1925600000
850762;1;2;3;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;39;0;1508880000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;499;0;1989240000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;232;0;1000250000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;51;0;1002790000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;235;0;1999300000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;243;0;2994180000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;246;0;1002950000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;444;0;1985260000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;263;0;1996340000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;306;0;2000880000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;401;0;2493500000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;204;0;3059310000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;218;0;2003500000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;402;0;986020000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;230;0;1998860000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;233;0;1997680000
850762;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;304;0;1983880000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;13;0;502010000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;170;0;1011700000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;170;0;1011700000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;107;0;1021790000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;256;0;505965000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;96;0;1023940000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;109;0;510695000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;158;0;1013150000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;267;0;1009390000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;262;0;1503870000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;41;0;2022820000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;29;0;1014870000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;219;0;2028320000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;227;0;3000030000
850762;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;213;0;2005440000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;124;0;1006720000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;86;0;1000680000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;86;0;1000680000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;87;0;1000510000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;492;0;1494075000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;415;0;1003940000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;459;0;501595000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;374;0;1996060000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;573;0;991890000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;10;0;1004520000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;257;0;1000080000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;252;0;1001070000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;464;0;198646000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;208;0;1008260000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;208;0;2017920000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;185;0;1010200000
