FONDO;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACION;VPN
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;548;0;533470000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1513;0;550940000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;864;0;596865000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;2324;0;627750000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;2324;0;627750000
85076226;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;2324;0;627750000
85076226;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;14169692.7
85076226;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;0
85076226;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;0
85076226;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;106496165.3
8507623;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;339;0;4053320000
8507623;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;155;0;4022520000
8507623;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;704;0;4116000000
8507623;1;2;3;Banco Finandina S.A.;8600518946;2;1;1;1;2;1;776;0;1021800000
8507623;1;2;3;Banco Finandina S.A.;8600518946;2;1;1;1;2;1;986;0;5083600000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;57;0;2004000000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;241;0;2010460000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;151;0;2504600000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;335;0;2006760000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;154;0;1006180000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;341;0;1007260000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;380;0;2010560000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;201;0;4012680000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;433;0;2007560000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;439;0;5010950000
8507623;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;177;0;3048810000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;138;0;3020130000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;149;0;2010060000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;125;0;1009090000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;7;0;1004060000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;94;0;1512900000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;136;0;2037000000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;161;0;1007440000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;454;0;502805000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;454;0;1005610000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;8;0;1013860000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;12;0;506670000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;193;0;511945000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;59;0;2025720000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;4;0;2034480000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;151;0;2079440000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;155;0;4156480000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;190;0;3099090000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;191;0;1032870000
8507623;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;197;0;1031960000
