fondo;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;duracion;VPN
85032;1;2;38;Promigas S.A;8901055263;2;1;1;1;1;46;6;0;773566200
85032;1;2;37;Almacenes Exito S.A.;8909006089;2;1;1;1;1;45;6;0;4368768000
85032;1;2;39;Alicorp S.A.A.;4444000891;2;2;3;3;1;51;6;0;596406812.04
85032;1;2;39;Inretail Peru Corp.;8888888888;2;2;3;2;1;51;6;0;5318541855
85032;1;2;39;Besalco S.A.;4444003191;2;2;3;2;1;51;6;0;819044200.06
85032;1;2;39;Parque Arauco S.A.;4444002471;2;2;3;3;1;51;6;0;4551261057.52
85032;1;2;39;Sonda S.A.;4444004711;2;2;3;3;1;51;6;0;2073644700.09
85032;1;2;39;Clinica Las Condes;4444004381;2;2;3;3;1;51;6;0;858840598.62
85032;1;2;39;Viða Concha Y Toro S.A.;4444003111;2;2;3;3;1;51;6;0;814011451.62
85032;1;2;39;Grupo Security S.A.;4444003431;2;2;3;3;1;51;6;0;727078960.09
85032;1;2;39;Hortifrut;1414141414;2;2;3;3;1;51;6;0;3140903089.81
85032;1;2;39;Ripley Corp S.A.;4444004631;2;2;3;3;1;51;6;0;1553991623.67
85032;1;2;39;Smu S.A;2036965484;2;2;3;3;1;51;6;0;543877871.19
85032;1;2;39;Multifoods S.A;1531289546;2;2;3;3;1;51;6;0;2112666210.26
85032;1;2;39;Sociedad Oro Blanco;4647955555;2;2;3;3;1;51;6;0;589203876.25
85032;1;2;39;Compaðia Pesquera Camanchaca SA;937110006;2;2;3;3;1;51;6;0;160711149.99
85032;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;283929593.28
85032;2;2;0;Bnp Paribas Colombia Corporacion Financiera S.A.;9004085370;0;0;0;0;0;0;0;0;0
85032;2;2;0;Bnp Paribas Usd;2001200220;0;0;0;0;0;0;0;0;1443311208.93
85032;2;2;0;Bnp Paribas Clp;1415161718;0;0;0;0;0;0;0;0;6.29
85032;2;2;0;Bnp Paribas Pen;7879757674;0;0;0;0;0;0;0;0;24197.84
