TIPO ACTIVO;CODIGO CARTERA;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;DURACIÓN;VAN
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;1586347.77
9009448;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;454607516.08
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;2202898.56
9009448;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;186434855.09
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;88179306.42
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;2007247.29
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;12530123.9
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;2041200.02
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;147382475.87
9009448;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;2039330
9009448;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;889107947.03
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;522;0;511670000
9009448;1;1;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;531;0;511390000
9009448;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;1159;0;2077060000
9009448;1;2;3;Banco Finandina S.A.;8600518946;2;1;1;1;2;11;535;0;1702742580
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;176;0;1006220000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;181;0;1005270000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;223;0;1016490000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;231;0;505260000
9009448;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;241;0;2008920000
9009448;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;77;0;1003900000
9009448;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;641;0;1012700000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;178;0;502085000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;139;0;1009720000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;474;0;513940000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;310;0;505420000
9009448;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;151;0;1006320000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;474;0;1027880000
9009448;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;285;0;510970000
9009448;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;339;0;504210000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;176;0;501470000
9009448;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;722;0;1010840000
9009448;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191;0;502480000
9009448;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191;0;506490000
9009448;1;2;3;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;380;0;502795000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;381;0;505045000
9009448;1;2;4;Cementos Argos S.A.;8901002510;2;1;1;1;1;11;751;0;508935000
9009448;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;177;0;1002360000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;217;0;1004620000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;398;0;1004920000
9009448;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;399;0;502615000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;231;0;1006550000
9009448;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;438;0;1020730000
9009448;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;253;0;509480000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;458;0;509935000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;475;0;1017100000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;478;0;1015920000
9009448;1;2;16;Rci Colombia S.A.;9009776290;2;1;1;1;2;1;256;0;503565000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1062;0;1057540000
9009448;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;982;0;1014270000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1873;0;1281010000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1873;0;1281010000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1873;0;1281010000
9009448;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;522;0;1003980000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;529;0;1004230000
9009448;1;2;3;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;1079;0;1007170000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;715;0;1003350000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1873;0;1281010000
9009448;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;363;0;1000330000
9001651;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;95327103.86
9001651;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;2571074627.86
9001651;1;2;43;Inversiones La 14;890325060;2;2;4;1;1;1;1424;0;64206725407.29
9009438;2;2;0;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;0;0;0;0;0;0;0;0;0
