fondo;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;duracion;VPN
9041248;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;4; -   ;1530705000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;72; -   ;5046150000
9041248;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;270; -   ;2039200000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;106; -   ;4100000000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;296; -   ;3622115000
9041248;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;247; -   ;204498000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;183; -   ;1030230000
9041248;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;2; -   ;1019950000
9041248;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;6; -   ;4076440000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;6; -   ;509555000
9041248;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;8; -   ;1018800000
9041248;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191; -   ;514410000
9041248;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;10; -   ;509665000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;195; -   ;5066450000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;256; -   ;3508925000
9041248;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;408; -   ;2045520000
9041248;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;263; -   ;2002100000
9041248;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;24; -   ;3138900000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;256; -   ;300765000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;341; -   ;2030340000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;185; -   ;10335000000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;199; -   ;3038970000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;365; -   ;509620000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;353; -   ;511790000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;229; -   ;1007690000
9041248;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;1;48; -   ;607224000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;9; -   ;67231450
