COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;DURACIÓN;VPN
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;8;0;18107820000
91011952;1;2;16;Banco BTG Pactual Colombia S.A.;9014915510;2;1;1;1;2;1;90;0;10001300000
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;135;0;20080800000
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;130;0;20105400000
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;7;0;20124800000
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;133;0;20088200000
91011952;1;2;16;Financiera De Desarrollo Nacional Sa;8605090229;2;1;1;1;4;1;104;0;10046400000
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;284;0;9184500000
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;301;0;10155600000
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;281;0;18370440000
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;280;0;20398400000
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;284;0;2040960000
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;645;0;30501600000
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;461;0;20337800000
91011952;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;284;0;27552960000
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;421;0;507720000
91011952;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;92;0;10362800000
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;90;0;4041880000
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;393;0;2050000000
