ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO; DURACION ;  VPN  ;FIC
9633;1;2;9;Ministerio De Hacienda Y Credito Publico;8999990902;1;1;1;1;4;9;26;0;538700765.95;VP
9633;1;2;9;Ministerio De Hacienda Y Credito Publico;8999990902;1;1;1;1;4;9;61;0;585288676.39;VP
9633;1;2;9;Ministerio De Hacienda Y Credito Publico;8999990902;1;1;1;1;4;9;89;0;556945453.42;VP
9633;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;712;0;514260000;VP
9633;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;315;0;359133480;VP
9633;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;362;0;510785000;VP
9633;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;1;732;0;2100620000;VP
9633;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;509;0;1030760000;VP
9633;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;46;0;3023670000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;1072;0;519585000;VP
9633;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;1062;0;516270000;VP
9633;1;2;19;Titularizadora Colombiana S.A. Hitos;8300895306;2;1;1;1;2;1;2397;0;672837596.5;VP
9633;1;2;3;Banco Finandina S.A.;8600518946;2;1;1;1;2;1;151;0;1006590000;VP
9633;1;2;3;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;708;0;1562415000;VP
9633;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;514;0;1530585000;VP
9633;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;2340;0;522550000;VP
9633;1;1;16;Leasing Corficolombiana S.A.;8000247028;2;1;1;1;2;1;725;0;1029130000;VP
9633;1;1;16;Leasing Corficolombiana S.A.;8000247028;2;1;1;1;2;1;720;0;1028870000;VP
9633;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;853;0;1017800000;VP
9633;1;2;3;Hsbc Colombia S.A.;8600509309;2;1;1;1;2;1;52;0;929301200;VP
