COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;Emisor;NIT10;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;5883557832,38
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;19;0;5130900000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;148;0;5058500000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;119;0;4141600000,00
9011286;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;152;0;10106400000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;119;0;5177000000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;1466;0;1978740000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;64;0;5079600000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;172;0;5021150000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;38;0;6052860000,00
9011286;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;6;344;0;3087330000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;48;0;5045100000,00
9011286;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;339;0;2139320000,00
9011286;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;6;344;0;5145550000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;55;0;5038350000,00
9011286;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;6;198;0;1562745000,00
9011286;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;285;0;5121450000,00
9011286;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;310;0;10474100000,00
9011286;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;215;0;1038180000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;203;0;2044080000,00
