Fondo;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
8508802;2;2;0;0;0;0;0;0;0;0;0;0;0;0
8508802;2;2;0;0;0;0;0;0;0;0;0;0;0;0
8508802;2;2;0;0;0;0;0;0;0;0;0;0;0;0
8508802;2;2;0;0;0;0;0;0;0;0;0;0;0;0
8508802;2;2;0;0;0;0;0;0;0;0;0;0;0;0
8508805;1;2;37;Banco De Bogota S.A.;8600029644;2;1;1;1;1;1;1;0;58140000
8508805;1;2;37;Celsia S.A. E.S.P.;8110303227;2;1;1;1;1;1;1;0;12595500
8508805;1;2;37;Celsia S.A. E.S.P.;8110303227;2;1;1;1;1;1;1;0;25657500
8508805;1;2;37;Cementos Argos S.A.;8901002510;2;1;1;1;1;1;1;0;35392500
8508805;1;2;37;Cementos Argos S.A.;8901002510;2;1;1;1;1;1;1;0;23751000
8508805;1;2;37;Cementos Argos S.A.;8901002510;2;1;1;1;1;1;1;0;42120000
8508805;1;2;37;Cemex Latam Holdings S.A.U.;4444440361;2;1;1;1;1;1;1;0;36698240
8508805;1;2;37;Canacol Energy Inc;9003571608;2;1;1;1;1;1;1;0;14040000
8508805;1;2;37;Constructora Conconcreto S.A.;8909011108;2;1;1;1;1;1;1;0;6532500
8508805;1;2;37;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;1;1;1;0;34303360
8508805;1;2;37;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;1;1;1;0;20442240
8508805;1;2;37;Ecopetrol S.A.;8999990681;2;1;1;1;1;1;1;0;243612500
8508805;1;2;37;Ecopetrol S.A.;8999990681;2;1;1;1;1;1;1;0;31700000
8508805;1;2;37;Empresa De Energia De Bogota S.A. E.S.P.;8999990823;2;1;1;1;1;1;1;0;62620000
8508805;1;2;37;Empresa De Energia De Bogota S.A. E.S.P.;8999990823;2;1;1;1;1;1;1;0;26260000
8508805;1;2;37;Empresa De Energia De Bogota S.A. E.S.P.;8999990823;2;1;1;1;1;1;1;0;3728920
8508805;1;2;37;Empresa De Telecomunicaciones De Bogota S.A. E.S.P;8999991158;2;1;1;1;1;1;1;0;3616000
8508805;1;2;37;Almacenes Exito S.A.;8909006089;2;1;1;1;1;1;1;0;66666600
8508805;1;2;37;Grupo Argos S.A.;8909002663;2;1;1;1;1;1;1;0;3549600
8508805;1;2;37;Grupo Argos S.A.;8909002663;2;1;1;1;1;1;1;0;10440000
8508805;1;2;37;Grupo Argos S.A.;8909002663;2;1;1;1;1;1;1;0;20880000
8508805;1;2;37;Grupo Argos S.A.;8909002663;2;1;1;1;1;1;1;0;57399120
8508805;1;2;37;Grupo Argos S.A.;8909002663;2;1;1;1;1;1;1;0;37604880
8508805;1;2;34;Grupo Aval Acciones Y Valores S.A.;8002161815;2;1;1;1;2;1;1;0;1598310
8508805;1;2;34;Grupo Aval Acciones Y Valores S.A.;8002161815;2;1;1;1;2;1;1;0;325080
8508805;1;2;34;Grupo Aval Acciones Y Valores S.A.;8002161815;2;1;1;1;2;1;1;0;12513000
8508805;1;2;34;Grupo Aval Acciones Y Valores S.A.;8002161815;2;1;1;1;2;1;1;0;43860
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;40120
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;40120
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;3971880
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;1323960
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;1323960
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;40120
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;122004920
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;40120
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;2567680
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;8024000
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;40120
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;2487440
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;200600
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;13680920
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;40120
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;8024000
