COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;DURACIÓN;VPN
119143;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;898;0;1590900000
119143;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;474;0;2028040000
119143;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;464;0;1073130000
119143;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;6;299;0;2019480000
119143;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;1797;0;1037660000
119143;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;342;0;1009650000
119143;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;357;0;1002870000
119143;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;457;0;1072590000
119143;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;963;0;2270580000
119143;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;963;0;1702935000
119143;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;1246;0;1604775000
119143;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;724;0;1030470000
119143;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;1084;0;1052900000
119143;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;1089;0;1043970000
119143;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;368;0;1089500000
119143;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;366;0;1025970000
119143;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;344;0;2058220000
119143;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;706;0;3018840000
119143;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;439;0;1024980000
119143;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;638;0;1032920000
119143;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;4;329;0;1009810000
119143;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;6;204;0;1002940000
119143;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;901;0;955230000
119143;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;2929;0;1101870000
119143;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;195;0;2042940000
119143;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;328;0;1004610000
119143;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;1467;0;989370000
119143;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;798;0;1007440000
119143;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;285;0;1017020000
119143;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;442;0;1012290000
119143;1;2;10;Banco De La Republica;8600052167;2;1;1;1;4;9;2917;0;1094890000
119143;1;2;10;Banco De La Republica;8600052167;2;1;1;1;4;9;4163;0;347710000
119143;1;2;10;Banco De La Republica;8600052167;2;1;1;1;4;9;4163;0;347710000
119143;1;2;10;Banco De La Republica;8600052167;2;1;1;1;4;9;761;0;1908550136
119143;1;2;10;Banco De La Republica;8600052167;2;1;1;1;4;9;761;0;1908550136
119143;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;853;0;2172420000
119143;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;4;220;0;1015460000
119143;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;707;0;2013680000
119143;1;2;2;Une Epm Telecomunicaciones S.A.;9000923859;2;1;1;1;1;18;2193;0;422305000
119143;1;2;2;Une Epm Telecomunicaciones S.A.;9000923859;2;1;1;1;1;18;2193;0;422305000
119143;2;1;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;1044890066
119143;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;71983142
119143;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;101626617
119143;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;104603061
119143;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;5839486821
119143;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;310645646
119143;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;112157406
119143;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;363966975
119143;2;1;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;92618590
119143;2;1;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;3780409
119143;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;200014
119143;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;500000
119143;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;99960
119143;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;12582
119143;2;1;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;5015821000
119133;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;110;0;4515480000
119133;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;183;0;4112080000
119133;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;330;0;10027000000
119133;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;214;0;2524075000
119133;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;140;0;5077050000
119133;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;158;0;3028470000
119133;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;162;0;3023940000
119133;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;207;0;5076050000
