fondo;TIPO ACTIVO;VINCULADO O NO;TIPO TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;duracion;VPN
123456;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;54;0;50599000
123456;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;74;0;100659000
123456;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;102;0;135352770
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;6;0;38207470
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;12;0;18819900
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;25;0;30182100
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;26;0;71290100
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;49;0;30221400
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;57;0;52065500
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;63;0;150844500
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;64;0;25282250
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;69;0;50333500
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;89;0;31052700
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;105;0;51754000
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;105;0;25144750
123456;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;117;0;58313780
123456;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;13;0;110267300
123456;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;4;0;61163400
123456;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;22021950.16
123456;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;23476751.61
123456;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;20497707.34
123456;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;19567460.26
123456;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;20092720.37
123456;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;443084419.5
123456;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;23603525.32
123456;1;2;40;Fiduciaria Davivienda S.A.;8001822815;2;1;1;1;2;11;1;0;100165312.7
123456;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;32;0;498185000
123456;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;623;0;560830000
