TIPO ACTIVO;CÓDIGO CARTERA;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;DURACIÓN;VAN
2852;1;2;19;Titularizadora Colombiana S.A. Hitos;8300895306;2;1;1;1;2;1;1300;0;54886489
2852;1;2;19;Titularizadora Colombiana S.A. Hitos;8300895306;2;1;1;1;2;1;1300;0;18584485
2852;1;2;19;Titularizadora Colombiana S.A. Hitos;8300895306;2;1;1;1;2;1;1300;0;46461213
2852;1;2;19;Titularizadora Colombiana S.A. Hitos;8300895306;2;1;1;1;2;1;1377;0;161809708
2852;1;2;3;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;400;0;7216370000
2852;1;2;4;Codensa S.A. E.S.P.;8300372480;2;1;1;1;1;1;105;0;5111150000
2852;1;2;3;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;1;0;3056160000
2852;1;2;16;Gmac Financiera De Colombia S.A.;8600293968;2;1;1;1;2;1;148;0;6640140000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;4;0;9158760000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;8;0;5084400000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;19;0;4061120000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;20;0;35532000000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;25;0;10181700000
2852;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;25;0;2035780000
2852;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;27;0;19034390000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;27;0;21291480000
2852;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;32;0;15201900000
2852;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;43;0;15164250000
2852;1;1;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;46;0;5071900000
2852;1;1;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;46;0;10143800000
2852;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;46;0;58803300000
2852;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;48;0;27374490000
2852;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;53;0;20269600000
2852;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;53;0;1013370000
2852;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;53;0;32427200000
2852;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;55;0;20259200000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;62;0;8096880000
2852;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;67;0;15679955000
2852;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;69;0;9603265000
2852;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;11;0;4079680000
2852;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;43;0;8614240000
2852;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;75;0;11113850000
2852;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;77;0;504915000
2852;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;77;0;1009950000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;83;0;10091700000
2852;1;1;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;83;0;20183400000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;83;0;5023900000
2852;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;88;0;17133790000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;88;0;28238840000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;88;0;9076770000
2852;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;88;0;4534785000
2852;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;64;0;5059300000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;96;0;2039780000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;96;0;1019890000
2852;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;11;99;0;5139750000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;19;0;26360360000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;111;0;7630050000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;19;0;26351520000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;118;0;19309130000
2852;1;2;16;Gmac Financiera De Colombia S.A.;8600293968;2;1;1;1;2;1;140;0;5091650000
2852;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;1243;0;10454700000
2852;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;154;0;50922500000
2852;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;154;0;30553800000
2852;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;523;0;30966000000
2852;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;159;0;40693200000
2852;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;159;0;51895050000
2852;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;526;0;26778440000
2852;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;162;0;1514805000
