Orden;Tipo de Registro;Nemo;ISIN;Numero Emisión;Estado;Fecha Registro;Fecha de Emisión;Fecha de Vencimiento;Periodicidad;Modalidad;Días al vencimiento;Moneda;Tipo Tasa;Tipo Tasa Referencia;Spread;Tipo de Calculo;Base de calculo;Precio;Fecha Ultimo Precio;Ultimo precio;Código ISIN2;Precio Limpio;Código ISIN3;TIR;Duracion ;Duracion Modificada ;Convexidad ;Cupon Corrido ;Margen;Calificación ;CALIF;CLASE;Especie;Emisor;Entidad;Rango Plazo;indicador;indicador2;Indicador Calif
1;C;SPVSX040616.;2900409363;02016040638410+000;0;768;1882,496;0;0;0;7599;197;0,3;94;;;;;;;;;;;;;;;;;;;;;;;;;
2;D;TIDISDVL13;;0;A;06/04/2016;00/01/1900;00/01/1900;N;O;9999;COP;1;FS;0;2;0;100,058;;0;;0;;0;0;0;0;0;0;NACIO;N;;;;;;;;
3;D;TIDISDVL14;;0;A;06/04/2016;00/01/1900;00/01/1900;N;O;9999;COP;1;FS;0;2;0;100,058;;0;;0;;0;0;0;0;0;0;NACIO;N;;;;;;;;
4;D;TIDISDVL15;;0;A;06/04/2016;00/01/1900;00/01/1900;N;O;9999;COP;1;FS;0;2;0;100,058;;0;;0;;0;0;0;0;0;0;NACIO;N;;;;;;;;
5;D;TIDISDVL16;;0;A;06/04/2016;00/01/1900;00/01/1900;N;O;9999;COP;1;FS;0;2;0;100,058;;0;;0;;0;0;0;0;0;0;NACIO;N;;;;;;;;
6;D;TFIC02180916;;0;A;06/04/2016;18/09/2014;18/09/2016;P;V;165;COP;1;FS;0;2;1;97,076;;0;;97,076;;6,785;0,4521;0,4233;0;0;0,0087;NACIO;N;;;;;;;;
7;D;TFIC03180917;;0;A;06/04/2016;18/09/2014;18/09/2017;P;V;530;COP;1;FS;0;2;1;90,605;;0;;90,605;;7,031;1,452;1,3566;0;0;0,0087;NACIO;N;;;;;;;;
8;D;TFIC04110917;;0;A;06/04/2016;11/09/2013;11/09/2017;A;V;523;COP;1;FS;0;2;1;90,683;;0;;90,683;;7,064;1,4329;1,3383;0;0;0,0436;NACIO;N;;;;;;;;
9;D;TFIC04180918;;0;A;06/04/2016;18/09/2014;18/09/2018;P;V;895;COP;1;FS;0;2;1;84,232;;0;;84,232;;7,249;2,452;2,2863;0;0;0,0087;NACIO;N;;;;;;;;
10;D;TFIC04211116;;0;A;06/04/2016;21/11/2012;21/11/2016;A;V;229;COP;1;FS;0;2;1;95,97;;0;;95,97;;6,776;0,6274;0,5875;0;0;-0,041;NACIO;N;;;;;;;;
11;D;TFIC05180919;;0;A;06/04/2016;18/09/2014;18/09/2019;P;V;1260;COP;1;FS;0;2;1;78,056;;0;;78,056;;7,44;3,4521;3,213;0;0;0,0087;NACIO;N;;;;;;;;
12;D;TFIC05211117;;0;A;06/04/2016;21/11/2012;21/11/2017;A;V;594;COP;1;FS;0;2;1;89,549;;0;;89,549;;7,018;1,6274;1,5206;0;0;-0,041;NACIO;N;;;;;;;;
13;D;TFIC06180920;;0;A;06/04/2016;18/09/2014;18/09/2020;P;V;1625;COP;1;FS;0;2;1;72,143;;0;;72,143;;7,61;4,452;4,1371;0;0;0,0087;NACIO;N;;;;;;;;
14;D;TFIC06211118;;0;A;06/04/2016;21/11/2012;21/11/2018;A;V;959;COP;1;FS;0;2;1;83,241;;0;;83,241;;7,231;2,6274;2,4502;0;0;-0,041;NACIO;N;;;;;;;;
15;D;TFIC07180921;;0;A;06/04/2016;18/09/2014;18/09/2021;P;V;1990;COP;1;FS;0;2;1;66,535;;0;;66,535;;7,76;5,4519;5,0593;0;0;0,0087;NACIO;N;;;;;;;;
16;D;TFIC08180922;;0;A;06/04/2016;18/09/2014;18/09/2022;P;V;2355;COP;1;FS;0;2;1;61,255;;0;;61,255;;7,892;6,4522;5,9802;0;0;0,0087;NACIO;N;;;;;;;;
17;D;TFIC09180923;;0;A;06/04/2016;18/09/2014;18/09/2023;P;V;2720;COP;1;FS;0;2;1;56,314;;0;;56,314;;8,01;7,4522;6,8995;0;0;0,0087;NACIO;N;;;;;;;;
18;D;TFIC10180924;;0;A;06/04/2016;18/09/2014;18/09/2024;P;V;3085;COP;1;FS;0;2;1;51,711;;0;;51,711;;8,115;8,4523;7,8178;0;0;0,0087;NACIO;N;;;;;;;;
19;D;TFIC11180925;;0;A;06/04/2016;18/09/2014;18/09/2025;P;V;3450;COP;1;FS;0;2;1;47,441;;0;;47,441;;8,209;9,4518;8,7347;0;0;0,0087;NACIO;N;;;;;;;;
