Codigo;Tipo de Activo;Vinculado o no;Tipo de Titulo;Emisor;NIT;Tipo Inversion;Tipo Registro;Sisitema TRansaccional;Tipo Moneda;Tipo Sector;Calificacion;Dias Vencimiento;Duracion;VPN;
51515151;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;94;0;503310000;
51515151;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;186;0;999530000;
51515151;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;149;0;3053970000;
51515151;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;289;0;15329550000;
51515151;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;290;0;2044360000;
51515151;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;36;0;5006100000;
51515151;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;144;0;5015900000;
51515151;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;331;0,8116;3037830000;
51515151;;;16;Banco Popular S.A.;8600077389;;1;1;1;2; 4;327;0;2031420000;
51515151;;;16;Banco Popular S.A.;8600077389;;1;1;1;2; 4;11;0,028;5211700000;
51515151;;;16;Banco Popular S.A.;8600077389;;1;1;1;2; 4;113;0,2876;2564650000;
51515151;;;16;Banco Popular S.A.;8600077389;;1;1;1;2; 4;193;0;10352900000;
51515151;;;16;Banco Corpbanca Colombia S.A;8909039370;;1;1;1;2; 4;44;0,1121;5145150000;
51515151;;;16;Banco Corpbanca Colombia S.A;8909039370;;1;1;1;2;1;543;1,3017;10048800000;
51515151;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;165;0;1018210000;
51515151;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;171;0;2528700000;
51515151;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;79;0;3030270000;
51515151;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;326;0,8072;987730000;
51515151;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;205;0,5118;1000150000;
51515151;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;128;0,3216;7081060000;
51515151;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;122;0,3074;4017440000;
51515151;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;122;0,3074;3515260000;
51515151;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;272;0,68;2872595000;
51515151;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;285;0,7018;10030400000;
51515151;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;283;0,6968;1976200000;
51515151;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;297;0,7318;1501875000;
51515151;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;172;0;5029650000;
51515151;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;267;0;5028150000;
