C‡DIGO CARTERA;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSION ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACI‡N; VPN 
11149;1;2;16;Banco Agrario s.a;800037800;2;1;4;1;2;4;87;; 1.011.830.000,00 
11149;1;2;16;Banco Agrario;800037800;2;1;4;1;2;4;36;; 2.020.040.000,00 
11149;1;2;16;Banco Agrario s.a;800037800;2;1;4;1;2;4;137;; 1.506.705.000,00 
11149;1;2;16;Banco Av Villas;860035827;2;1;4;1;2;4;39;; 1.008.750.000,00 
11149;1;2;16;Banco Av Villas;860035827;2;1;4;1;2;4;45;; 507.730.000,00 
11149;1;2;16;Banco Pichincha;890200756;2;1;4;1;2;4;54;; 2.525.125.000,00 
11149;1;2;16;Banco Pichincha;890200756;2;1;4;1;2;4;148;; 2.014.900.000,00 
11149;1;2;16;Bancolombia    ;890903938;2;1;4;1;2;4;21;; 2.021.180.000,00 
11149;1;2;16;Bancolombia    ;890903938;2;1;4;1;2;4;88;; 502.480.000,00 
11149;1;2;16;Bancolombia    ;890903938;2;1;4;1;2;4;51;; 505.360.000,00 
11149;1;2;16;Bancolombia    ;890903938;2;1;4;1;2;1;643;; 526.970.000,00 
11149;1;2;16;Bancolombia    ;890903938;2;1;4;1;2;1;651;; 523.775.000,00 
11149;1;2;16;BBVA;860003020;2;1;4;1;2;6;146;; 505.505.000,00 
11149;1;2;16;Banco de Bogota;860002964;2;1;4;1;2;4;5;; 506.605.000,00 
11149;1;2;16;Banco de Bogota;860002964;2;1;4;1;2;1;487;; 1.013.980.000,00 
11149;1;2;16;Banco de Bogota;860002964;2;1;4;1;2;4;102;; 1.020.580.000,00 
11149;1;2;16;Banco de Bogota;860002964;2;1;4;1;2;4;65;; 507.605.000,00 
11149;1;2;16;Banco de Occidente;890300279;2;1;4;1;2;1;493;; 506.260.000,00 
11149;1;2;16;Banco de Occidente;890300279;2;1;4;1;2;4;82;; 1.006.970.000,00 
11149;1;2;16;Banco de Occidente;890300279;2;1;4;1;2;1;438;; 1.531.185.000,00 
11149;1;2;16;Banco de Occidente;890300279;2;1;4;1;2;4;157;; 1.002.090.000,00 
11149;1;2;16;Banco Citibank;860051135;2;1;4;1;2;6;131;; 2.011.940.000,00 
11149;1;2;16;Banco Colpatria;890100180;2;1;4;1;2;5;52;; 1.516.080.000,00 
11149;1;2;16;Banco Colpatria;890100180;2;1;4;1;2;5;325;; 503.080.000,00 
11149;1;2;16;Banco Colpatria;890100180;2;1;4;1;2;5;326;; 4.024.120.000,00 
11149;1;2;16;Banco Colpatria;890100180;2;1;4;1;2;1;711;; 1.501.005.000,00 
11149;1;2;16;Banco Colpatria;890100180;2;1;4;1;2;5;28;; 1.530.000.000,00 
11149;1;2;16;Banco Davivienda;860034313;2;1;4;1;2;14;165;; 502.760.000,00 
11149;1;2;16;Banco Davivienda;860034313;2;1;4;1;2;14;306;; 506.785.000,00 
11149;1;2;16;Banco Davivienda;860034313;2;1;4;1;2;6;170;; 502.910.000,00 
11149;1;2;16;Findeter;800096329;2;1;4;1;2;6;79;; 401.844.000,00 
11149;1;2;16;Findeter;800096329;2;1;4;1;2;6;21;; 2.002.820.000,00 
