CÓDIGO CARTERA;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSION ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN; VPN 
9011427;1;2;3;BANCO DAVIVIEND;860034313;2;1;4;1;2;1;1773;529; 3.051.360.000,00 
9011427;1;2;3;BANCO POPULAR;860007738;2;1;4;1;2;4;87;531; 1.002.980.000,00 
9011427;1;2;3;BANCO POPULAR;860007738;2;1;4;1;2;4;143;565; 2.016.280.000,00 
9011427;1;2;3;BANCO POPULAR;860007738;2;1;4;1;2;4;143;584; 1.008.140.000,00 
9011427;1;2;3;BANCO POPULAR;860007738;2;1;4;1;2;4;143;591; 1.008.140.000,00 
9011427;1;2;3;BANCO POPULAR;860007738;2;1;4;1;2;4;143;591; 1.008.140.000,00 
9011427;1;2;4;GRUPO ARGOS SA;890900266;2;1;4;1;1;1;1014;407; 4.432.389.750,00 
9011427;1;2;3;LEASING BANCOLO;8600592943;2;1;4;1;2;6;138;1195; 1.010.290.000,00 
9011427;1;2;3;LEASING BANCOLO;8600592943;2;1;4;1;2;6;138;1773; 4.546.305.000,00 
9011427;1;2;3;LEASING BANCOLO;8600592943;2;1;4;1;2;6;138;965; 1.010.290.000,00 
9011427;1;2;3;LEASING BANCOLO;8600592943;2;1;4;1;2;1;965;1188; 1.002.730.000,00 
9011427;1;2;3;LEASING BANCOLO;8600592943;2;1;4;1;2;1;965;1005; 3.008.190.000,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;502;1170; 167.527.485,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;528;1176; 193.843.119,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;798;1186; 144.953.652,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;858;1198; 123.410.144,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;1123;1345; 278.899.207,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;1317;1281; 197.182.469,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;452;795; 293.669.775,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;467;214; 169.070.186,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;492;214; 169.627.737,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;502;214; 149.950.394,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;505;331; 156.014.773,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;529;331; 316.596.958,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;531;331; 364.705.248,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;565;562; 240.323.417,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;584;562; 415.472.086,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;591;562; 286.187.146,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;591;562; 191.361.960,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;599;562; 138.046.708,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;805;562; 329.868.737,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;1339;8; 120.177.581,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;1223;43; 142.719.166,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;1248;71; 263.953.167,00 
9011427;1;2;1;TESORERIA GENER;899999090;2;1;4;1;4;9;1396;99; 460.011.212,00 
9011427;1;2;3;SERFINANSA S.A;8600431866;2;1;4;1;2;1;476;134; 2.003.240.000,00 
9011427;1;2;3;SERFINANSA S.A;8600431866;2;1;4;1;2;1;476;162; 500.810.000,00 
9011427;1;2;3;BANCO OCCIDENTE;890300279;2;1;4;1;2;1;545;190; 5.011.050.000,00 
9011427;1;2;3;BANCO OCCIDENTE;890300279;2;1;4;1;2;1;545;225; 1.002.210.000,00 
9011427;1;2;3;BANCO OCCIDENTE;890300279;2;1;4;1;2;1;2006;288; 1.978.600.000,00 
9011427;1;2;2;EPM;9000923859;2;1;4;1;3;1;1450;316; 4.541.720.000,00 
9011427;1;2;4;EMGESA S.A. E.S;8600638758;2;1;4;1;1;1;1745;344; 1.061.870.000,00 
9011427;1;2;4;EMGESA S.A. E.S;8600638758;2;1;4;1;1;1;1993;379; 2.025.180.000,00 
9011427;1;2;16;BANCO PICHINCHA;8902007567;2;1;4;1;2;4;99;407; 5.018.800.000,00 
9011427;1;2;16;BANCO CORPBANCA;8909039370;2;1;4;1;2;4;214;1195; 5.043.850.000,00 
9011427;1;2;16;BANCO OCCIDENTE;890300279;2;1;4;1;2;4;238;1773; 5.046.300.000,00 
9011427;1;2;16;BANCO OCCIDENTE;890300279;2;1;4;1;2;4;45;965; 503.445.000,00 
9011427;1;2;16;BANCO OCCIDENTE;890300279;2;1;4;1;2;4;245;1188; 1.007.950.000,00 
9011427;1;2;16;BANCO DE BOGOTA;860002964;2;1;4;1;2;4;249;1005; 2.015.580.000,00 
9011427;1;2;16;BANCO DE BOGOTA;860002964;2;1;4;1;2;4;279;1170; 1.015.740.000,00 
9011427;1;2;16;BANCO DE BOGOTA;860002964;2;1;4;1;2;4;135;1176; 2.018.720.000,00 
9011427;1;2;16;BANCO DE BOGOTA;860002964;2;1;4;1;2;4;279;1186; 3.047.220.000,00 
9011427;1;2;16;BANCOLOMBIA S.A;890903938;2;1;4;1;2;4;73;1198; 1.004.190.000,00 
